cal_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
american_music_club-jesus_hands,0.317,0.289,2,-13.587,1,0.0326,0.107,0.0,0.331,0.268,137.394,3
andrews_sisters-boogie_woogie_bugle_boy,0.64,0.479,7,-11.55,1,0.467,0.881,0.000171,0.0973,0.79,166.868,4
ani_difranco-crime_for_crime,0.704,0.352,11,-10.166,0,0.211,0.224,0.0249,0.205,0.355,159.153,4
animals-im_crying,0.477,0.754,10,-6.154,1,0.0344,0.0125,0.0282,0.394,0.713,112.887,4
anita_baker-caught_up_in_the_rapture,0.593,0.506,2,-9.708,1,0.0263,0.412,3.99e-06,0.048,0.378,91.273,4
antiguru-peering,0.413,0.652,6,-11.611,1,0.0317,0.097,0.921,0.0549,0.529,141.996,4
antonio_carlos_jobim-wave,0.552,0.314,7,-20.681,1,0.0337,0.831,0.831,0.0861,0.873,144.921,4
anup-life_glides,0.509,0.873,6,-4.846,1,0.0399,0.00139,0.918,0.107,0.664,120.038,4
aphex_twin-come_to_daddy,0.421,0.944,8,-9.179,1,0.302,0.0764,0.815,0.119,0.222,162.179,4
apples_in_stereo-glowworm,0.327,0.65,7,-8.161,1,0.0351,0.00307,0.000983,0.307,0.431,120.284,4
aretha_franklin-dont_play_that_song,0.513,0.537,0,-9.563,1,0.042,0.563,1.43e-06,0.212,0.831,108.475,4
arlo_guthrie-alices_restaurant_massacree,0.561,0.366,9,-14.14,1,0.327,0.851,0.0,0.813,0.646,78.659,4
art_tatum-willow_weep_for_me,0.459,0.26,2,-16.802,1,0.0413,0.993,0.922,0.556,0.451,171.754,4
artemis-don_t_look_back,0.512,0.687,4,-6.053,0,0.039,0.0562,0.00227,0.0979,0.386,88.819,4
arthur_alexander-you_dont_care,0.615,0.71,5,-7.026,1,0.0277,0.0257,0.11,0.177,0.979,112.247,4
arthur_yoria-at_least_you_ve_been_told,0.741,0.666,5,-7.829,1,0.0447,0.00158,0.254,0.0715,0.743,130.68,3
ashford_and_simpson-solid,0.814,0.474,0,-12.017,1,0.0309,0.27,8.16e-06,0.599,0.956,101.241,4
association-windy,0.676,0.681,5,-9.223,1,0.0292,0.363,0.191,0.0967,0.901,132.953,4
atomic_opera-watergrave,0.488,0.276,6,-11.554,0,0.0288,0.27,5.15e-05,0.0844,0.123,146.525,4
b.b._king-sweet_little_angel,0.431,0.432,6,-9.857,1,0.0311,0.377,0.000125,0.278,0.589,97.555,3
backstreet_boys-as_long_as_you_love_me,0.775,0.816,0,-5.534,1,0.0281,0.164,0.0,0.126,0.753,98.219,4
badly_drawn_boy-all_possibilities,0.581,0.894,9,-6.966,1,0.0407,0.0262,0.0888,0.202,0.789,105.995,4
band-king_harvest_has_surely_come,0.601,0.629,2,-9.75,0,0.0673,0.0827,0.0372,0.0573,0.76,100.171,4
barbara_leoni-don_t_rain_on_my_parade,0.424,0.81,2,-6.233,1,0.0977,0.622,0.000265,0.088,0.672,161.709,4
barenaked_ladies-its_all_been_done,0.521,0.919,2,-3.146,1,0.0475,0.000173,0.00218,0.301,0.746,131.726,4
barry_manilow-mandy,0.308,0.464,10,-9.032,1,0.0279,0.418,2.49e-06,0.143,0.318,103.734,4
barry_white-cant_get_enough_of_your_love_babe,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,4
bauhaus-ziggy_stardust,0.235,0.875,7,-7.776,1,0.0735,0.00132,3.15e-06,0.185,0.535,175.503,4
bay_city_rollers-saturday_night,0.514,0.681,7,-10.026,1,0.065,0.199,0.0356,0.0745,0.913,136.821,4
beach_boys-i_get_around,0.39,0.625,9,-7.813,0,0.0537,0.36,0.0,0.0663,0.514,144.338,4
beatles-strawberry_fields_forever,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,4
beatundercontrol-this_is_beatundercontrol,0.46,0.943,2,-5.112,1,0.0417,0.00255,0.857,0.0937,0.558,180.019,4
beautiful_south-one_last_love_song,0.371,0.283,5,-13.659,1,0.0262,0.332,0.00128,0.101,0.489,85.218,3
beck-where_its_at,0.68,0.671,2,-7.142,1,0.0536,0.169,0.0286,0.076,0.532,96.941,4
bee_gees-stayin_alive,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,4
belle_and_sebastian-like_dylan_in_the_movies,0.505,0.444,1,-12.672,0,0.0279,0.319,0.000133,0.147,0.625,157.899,4
ben_folds_five-brick,0.542,0.454,2,-10.247,1,0.025,0.645,0.00279,0.15,0.267,96.881,4
beth_quist-survival,0.609,0.224,2,-17.689,1,0.062,0.174,0.344,0.135,0.0678,60.246,4
big_star-in_the_street,0.48,0.721,0,-9.23,1,0.0391,0.00391,0.0457,0.0902,0.59,124.901,4
billie_holiday-god_bless_the_child,0.426,0.145,8,-12.006,1,0.0334,0.944,1.74e-05,0.238,0.24,108.218,4
billy_bragg-jeane,0.54,0.189,4,-11.831,1,0.0378,0.915,0.0,0.111,0.387,112.589,4
billy_joel-we_didnt_start_the_fire,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,4
birthday_party-mr._clarinet,0.472,0.647,5,-12.903,1,0.035,0.0104,3e-06,0.47,0.84,151.569,4
bjrk-army_of_me,0.462,0.677,6,-9.262,1,0.0327,0.00786,7.15e-05,0.226,0.468,172.192,4
black_crowes-thorn_in_my_pride,0.556,0.839,4,-5.381,1,0.0353,0.0455,0.000374,0.0929,0.538,143.15,4
black_flag-six_pack,0.33,0.784,2,-15.285,1,0.19,0.157,2.08e-05,0.58,0.196,115.402,4
black_sabbath-black_sabbath,0.317,0.431,2,-14.338,1,0.0415,0.0467,0.0457,0.239,0.133,132.652,4
blind_faith-had_to_cry_today,0.321,0.654,5,-12.564,1,0.0465,0.0592,0.0322,0.112,0.692,161.094,4
blind_melon-no_rain,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,4
blondie-rapture,0.724,0.704,11,-8.258,0,0.0511,0.113,0.00425,0.466,0.96,107.486,4
blood_sweat_and_tears-sometimes_in_winter,0.363,0.347,11,-12.112,0,0.0474,0.301,0.000712,0.238,0.11,81.206,4
blue_yster_cult-burnin_for_you,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4
blur-country_house,0.331,0.885,9,-6.606,1,0.0924,0.205,0.0,0.123,0.589,175.294,4
bo_diddley-you_cant_judge_a_book_by_its_cover,0.847,0.322,1,-12.922,1,0.0546,0.239,0.0,0.0778,0.946,114.557,4
bob_dylan-ill_be_your_baby_tonight,0.512,0.23,0,-16.412,1,0.0301,0.454,0.000139,0.0508,0.457,127.567,4
bob_marley_and_the_wailers-three_little_birds,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,4
bob_seger-turn_the_page,0.535,0.376,9,-10.004,1,0.0331,0.155,0.0,0.592,0.285,78.827,4
bobby_brown-my_prerogative,0.762,0.625,9,-10.481,1,0.0562,0.0655,0.0,0.252,0.696,110.163,4
bobby_fuller_four-i_fought_the_law,0.593,0.804,7,-5.497,1,0.0319,0.105,2.22e-06,0.047,0.962,148.959,4
bobby_womack-womans_gotta_have_it,0.506,0.59,11,-8.922,0,0.0302,0.567,2.1e-05,0.17,0.735,83.627,4
bomb_the_bass-bug_powder_dust,0.651,0.832,1,-9.957,0,0.0545,0.0294,0.00488,0.894,0.931,98.153,4
bon_jovi-livin_on_a_prayer,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,4
bonnie_tyler-total_eclipse_of_the_heart,0.431,0.723,8,-5.887,1,0.056,0.145,0.0,0.375,0.189,130.547,4
boo_radleys-wake_up_boo,0.471,0.896,6,-6.701,1,0.105,0.0725,0.0,0.193,0.555,144.838,4
boogie_down_productions-the_bridge_is_over,0.822,0.447,0,-9.836,1,0.448,0.0173,0.0,0.0643,0.556,179.837,4
booker_t._and_the_mgs-time_is_tight,0.772,0.43,9,-14.602,0,0.0464,0.067,0.889,0.104,0.959,134.561,4
boston-more_than_a_feeling,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,4
bots-take_the_power_back,0.914,0.344,4,-8.994,1,0.225,0.387,7e-06,0.0802,0.636,90.055,4
brad_sucks-overreacting,0.646,0.686,9,-8.947,1,0.0376,0.207,0.861,0.0952,0.412,145.984,4
bread-if,0.388,0.176,9,-16.952,1,0.0299,0.912,0.000336,0.0977,0.342,97.628,4
breeders-cannonball,0.502,0.758,3,-9.76,1,0.0407,0.00915,0.783,0.284,0.729,112.508,4
brenton_wood-lovey_dovey_kind_of_love,0.833,0.625,10,-6.866,0,0.0438,0.407,0.000109,0.0929,0.953,107.659,4
brian_eno-here_come_the_warm_jets,0.297,0.641,1,-9.009,0,0.0545,0.00109,0.0385,0.757,0.202,132.088,4
britney_spears-im_a_slave_for_you,0.863,0.197,0,-17.287,0,0.101,0.0317,0.767,0.141,0.69,108.078,4
bruce_springsteen-badlands,0.609,0.778,4,-7.548,1,0.0485,0.0862,1.16e-05,0.278,0.853,122.614,4
bryan_adams-cuts_like_a_knife,0.469,0.464,7,-17.281,1,0.0263,0.0179,2.87e-06,0.577,0.601,95.921,4
buddy_holly-peggy_sue,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,4
buena_vista_social_club-el_cuarto_de_tula,0.552,0.664,9,-13.167,1,0.0454,0.595,0.000409,0.299,0.858,104.776,4
buffalo_springfield-for_what_its_worth,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4
buffalo_springfield-mr._soul,0.675,0.549,9,-13.02,1,0.0335,0.105,7.18e-05,0.0533,0.965,134.771,4
buggles-video_killed_the_radio_star,0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,4
built_to_spill-i_would_hurt_a_fly,0.348,0.577,7,-8.857,0,0.0279,0.000263,0.749,0.0565,0.516,137.973,4
burnshee_thornside-goodbye_on_a_beautiful_day,0.658,0.229,0,-10.538,1,0.0308,0.039,0.000119,0.074,0.183,119.848,4
bush-comedown,0.46,0.81,11,-5.008,0,0.0557,6.54e-05,0.000189,0.123,0.38,139.671,4
busta_rhymes-woo_hah_got_you_all_in_check,0.716,0.924,1,-5.433,1,0.324,0.0985,0.0,0.306,0.786,92.022,4
buzzcocks-everybodys_happy_nowadays,0.535,0.802,7,-7.472,0,0.137,0.00347,6.2e-06,0.18,0.598,110.591,4
byrds-wasnt_born_to_follow,0.48,0.435,7,-8.851,1,0.0359,0.233,7.75e-05,0.204,0.538,93.352,4
c_layne-devil_and_the_woman,0.618,0.36,4,-14.021,0,0.0571,0.176,0.000981,0.0531,0.494,79.979,4
cab_calloway-minnie_the_moocher,0.512,0.322,0,-12.694,1,0.124,0.848,0.0,0.71,0.451,96.92,4
"cake-perhaps,_perhaps,_perhaps",0.721,0.457,7,-8.757,0,0.0546,0.0828,0.000142,0.471,0.911,113.675,4
camper_van_beethoven-take_the_skinheads_bowling,0.436,0.863,0,-11.51,1,0.0361,0.205,8.96e-05,0.113,0.745,145.817,4
canned_heat-on_the_road_again,0.466,0.182,9,-19.537,1,0.0457,0.879,0.0556,0.341,0.216,128.811,4
captain_beefheart_and_the_magic_band-safe_as_milk,0.643,0.489,7,-10.296,0,0.0293,0.591,0.000778,0.196,0.845,85.677,4
cardigans-lovefool,0.64,0.602,9,-7.902,1,0.0299,0.0646,0.0,0.375,0.951,111.87,4
cargo_cult-garden,0.56,0.645,0,-11.638,1,0.0309,0.576,0.00758,0.119,0.547,89.978,4
carl_perkins-matchbox,0.524,0.892,9,-8.231,1,0.0647,0.48,0.00752,0.392,0.923,170.152,4
carly_simon-youre_so_vain,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,4
carole_king-youve_got_a_friend,0.474,0.263,8,-10.684,1,0.0336,0.88,4.45e-05,0.123,0.458,168.683,4
carpenters-rainy_days_and_mondays,0.351,0.235,10,-11.513,1,0.0323,0.852,0.0,0.0688,0.218,74.72,4
cars-good_times_roll,0.607,0.662,4,-9.456,1,0.0278,0.0951,8.27e-05,0.125,0.629,107.643,4
cat_power-he_war,0.539,0.761,0,-8.415,1,0.0363,0.885,0.493,0.0862,0.689,170.163,4
catherine_wheel-black_metallic,0.245,0.413,9,-11.762,0,0.0348,0.102,0.027,0.242,0.0872,149.765,4
cc_music_factory-gonna_make_you_sweat_everybody_dance_now,0.573,0.515,6,-18.806,1,0.0876,0.00396,0.573,0.145,0.779,113.432,4
chad_and_jeremy-before_and_after,0.506,0.41,11,-9.521,0,0.0275,0.261,0.0,0.178,0.487,104.114,4
chantal_kreviazuk-surrounded,0.36,0.49,2,-9.047,1,0.0332,0.594,8.39e-06,0.0932,0.353,189.616,4
charles_mingus-mood_indigo,0.348,0.107,0,-22.793,0,0.0306,0.933,0.887,0.1,0.115,58.801,4
charlie_parker-ornithology,0.475,0.689,9,-9.351,0,0.054,0.532,0.00427,0.969,0.823,117.407,4
charlie_rich-behind_closed_doors,0.492,0.329,2,-11.788,1,0.0274,0.961,0.199,0.0955,0.589,85.196,4
cheap_trick-dream_police,0.476,0.766,4,-11.435,1,0.038,0.0446,0.0053,0.214,0.68,137.083,4
chemical_brothers-setting_sun,0.446,0.995,6,-1.169,1,0.223,0.000738,0.13,0.354,0.248,135.041,4
cheryl_ann_fulton-marsh_of_rhuddlan,0.464,0.146,6,-20.693,0,0.0642,0.92,0.894,0.118,0.076,113.32,3
chet_baker-these_foolish_things,0.612,0.0553,3,-18.508,1,0.0382,0.983,0.835,0.178,0.197,57.907,4
chi-lites-stoned_out_of_my_mind,0.745,0.469,6,-15.822,0,0.0414,0.0561,1.28e-06,0.163,0.797,105.858,4
chic-le_freak,0.91,0.641,7,-11.316,1,0.0589,0.0258,6.42e-05,0.0642,0.903,118.533,4
chicago-if_you_leave_me_now,0.429,0.564,11,-6.784,1,0.0268,0.0193,0.000828,0.128,0.276,104.212,4
chills-i_love_my_leather_jacket,0.509,0.804,9,-7.949,1,0.0347,0.594,0.712,0.258,0.837,135.769,4
chris_juergensen-prospects,0.468,0.551,4,-14.219,1,0.0314,0.642,0.406,0.13,0.433,114.883,4
christina_aguilera-genie_in_a_bottle,0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.137,0.912,175.815,4
chuck_berry-roll_over_beethoven,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,4
chumbawamba-tubthumping,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68,4
church-under_the_milky_way,0.578,0.583,9,-13.416,0,0.0269,0.0548,0.199,0.125,0.519,135.986,4
cilla_black-alfie,0.306,0.257,10,-10.658,1,0.0309,0.941,0.00654,0.118,0.157,145.148,4
clarence_ashley-the_house_carpenter,0.522,0.311,6,-12.768,1,0.0539,0.989,0.0,0.312,0.764,146.178,4
clash-lost_in_the_supermarket,0.608,0.634,4,-11.24,1,0.0725,0.0568,0.00568,0.116,0.841,147.514,4
coasters-poison_ivy,0.75,0.586,1,-8.985,1,0.0706,0.381,0.0,0.142,0.972,137.194,4
coldplay-clocks,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,4
contours-do_you_love_me,0.62,0.81,5,-6.594,1,0.039,0.432,0.0,0.0843,0.793,150.737,4
count_basie-lester_leaps_in,0.525,0.0711,2,-23.405,0,0.0655,0.984,0.903,0.111,0.403,124.102,4
counting_crows-speedway,0.642,0.39,7,-10.658,1,0.0414,0.517,0.0153,0.117,0.472,74.743,4
cowboy_junkies-postcard_blues,0.371,0.0209,5,-29.912,0,0.041,0.883,0.0397,0.111,0.219,120.478,4
cranberries-linger,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,4
cream-tales_of_brave_ulysses,0.538,0.476,0,-9.215,0,0.049,0.0178,4.26e-05,0.101,0.188,105.642,4
creedence_clearwater_revival-travelin_band,0.513,0.92,6,-6.664,1,0.0511,0.0166,0.0282,0.178,0.963,166.186,4
crosby_stills_nash_and_young-teach_your_children,0.497,0.285,2,-14.537,1,0.0264,0.643,1.66e-05,0.389,0.667,154.7,4
crosby_stills_and_nash-guinnevere,0.467,0.0936,11,-19.998,0,0.0371,0.817,0.00365,0.113,0.178,113.699,4
curandero-aras,0.447,0.294,6,-19.467,0,0.0379,0.896,0.873,0.0556,0.437,130.733,3
cure-just_like_heaven,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,4
curtis_mayfield-move_on_up,0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,4
cyndi_lauper-money_changes_everything,0.594,0.883,6,-4.013,1,0.0375,0.0186,6.14e-05,0.331,0.706,120.465,4
cypress_hill-lowrider,0.91,0.65,0,-5.529,1,0.0919,0.0026,0.0563,0.198,0.681,98.625,4
daft_punk-da_funk,0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,4
darkness-i_believe_in_a_thing_called_love,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,4
dave_matthews_band-ants_marching,0.637,0.856,2,-4.34,1,0.034,0.0187,1.99e-05,0.0157,0.846,113.32,4
david_bowie-song_for_bob_dylan,0.422,0.46,4,-15.41,1,0.0439,0.166,0.0,0.0637,0.633,139.216,4
dead_kennedys-chemical_warfare,0.302,0.972,2,-3.041,1,0.179,0.674,0.0227,0.288,0.52,119.561,4
def_leppard-pour_some_sugar_on_me,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,4
dennis_brown-tribulation,0.727,0.709,7,-2.643,1,0.087,0.549,1.86e-05,0.114,0.777,145.516,4
depeche_mode-world_in_my_eyes,0.66,0.881,10,-7.802,0,0.0419,0.00737,0.833,0.0514,0.949,122.244,4
devo-girl_u_want,0.735,0.569,9,-7.526,1,0.0596,0.125,7.67e-06,0.05,0.826,172.488,4
diana_ross_and_the_supremes-where_did_our_love_go,0.531,0.47,7,-7.65,1,0.0337,0.349,0.0,0.332,0.544,134.688,4
dido-here_with_me,0.55,0.578,11,-7.973,0,0.0273,0.0876,7.73e-06,0.0757,0.364,83.346,4
dionne_warwick-walk_on_by,0.7,0.33,5,-9.027,1,0.0303,0.719,8.6e-05,0.136,0.524,98.605,4
dire_straits-money_for_nothing,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,4
dj_jazzy_jeff_and_the_fresh_prince-summertime,0.677,0.54,7,-14.439,1,0.0627,0.0455,1.84e-06,0.845,0.469,95.116,4
dj_markitos-sunset_138_bpm_remix,0.64,0.995,9,-7.562,0,0.0488,0.00293,0.89,0.134,0.106,138.004,4
django_reinhardt-brazil,0.833,0.199,0,-13.781,1,0.0518,0.941,0.907,0.114,0.831,110.689,4
domased-too_slow,0.535,0.664,0,-13.459,1,0.0461,0.0849,0.763,0.102,0.263,195.92,4
donovan-catch_the_wind,0.385,0.306,3,-12.167,1,0.0297,0.452,7.43e-06,0.128,0.546,173.377,3
doobie_brothers-china_grove,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,4
doors-touch_me,0.425,0.903,1,-4.801,1,0.0732,0.405,0.0128,0.117,0.769,108.748,4
dr._dre-nuthin_but_a_g_thang,0.801,0.699,11,-8.18,0,0.279,0.00575,0.0,0.146,0.655,94.605,4
dr_kuch-persuaders_dub,0.786,0.91,8,-8.774,0,0.0468,0.0251,0.591,0.327,0.859,131.926,4
drevo-our_watcher_show_us_the_way,0.372,0.12,10,-13.162,1,0.0358,0.98,0.0,0.291,0.195,98.619,3
drop_trio-slapjack,0.512,0.632,2,-10.081,0,0.0324,0.389,0.914,0.0987,0.807,94.595,4
duke_ellington_and_his_orchestra-caravan,0.548,0.278,1,-15.984,1,0.0424,0.713,0.0009,0.0777,0.518,136.867,4
duncan_sheik-barely_breathing,0.482,0.807,0,-6.976,1,0.0457,0.0281,0.0,0.177,0.516,187.918,4
duran_duran-come_undone,0.542,0.793,8,-8.203,1,0.053,0.0423,3.95e-06,0.0814,0.708,173.931,4
eagles-tequila_sunrise,0.632,0.397,7,-12.855,1,0.0265,0.536,0.0421,0.106,0.731,110.578,4
earth_wind_and_fire-september,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
eels-cancer_for_the_cure,0.621,0.937,5,-6.421,1,0.26,0.0052,0.0811,0.34,0.866,142.015,4
electric_frankenstein-teenage_shutdown,0.339,0.987,1,-6.231,0,0.0726,0.0803,0.0,0.873,0.155,89.446,4
elliott_smith-baby_britain,0.682,0.444,7,-8.716,1,0.0327,0.571,0.0,0.11,0.572,119.547,4
elton_john-tiny_dancer,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
elvis_costello-less_than_zero,0.794,0.489,5,-10.309,1,0.0596,0.429,4.58e-06,0.0648,0.924,112.779,4
elvis_presley-heartbreak_hotel,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,4
eminem-my_fault,0.754,0.631,11,-8.083,0,0.395,0.0463,1.39e-06,0.25,0.84,190.04,4
erasure-chains_of_love,0.747,0.698,0,-11.22,1,0.0333,0.0149,4.53e-05,0.384,0.788,122.11,4
eric_clapton-wonderful_tonight,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,4
etherine-never_leave,0.126,0.133,0,-16.44,1,0.0411,0.845,0.864,0.113,0.0644,69.378,1
eurythmics-sweet_dreams,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,4
evanescence-my_immortal,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012,4
everly_brothers-take_a_message_to_mary,0.745,0.174,4,-18.106,1,0.0525,0.255,0.0,0.141,0.305,118.292,4
faith_hill-lets_make_love,0.362,0.459,0,-8.62,1,0.0274,0.342,0.0,0.111,0.158,147.063,4
faith_no_more-epic,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,4
falik-bliss,0.778,0.298,1,-18.701,1,0.0472,0.0146,0.253,0.135,0.459,134.985,4
fiona_apple-love_ridden,0.266,0.249,0,-12.908,1,0.0441,0.798,0.0,0.197,0.086,78.793,4
fleetwood_mac-say_you_love_me,0.723,0.596,9,-13.436,1,0.0308,0.0187,0.00513,0.16,0.962,128.068,4
flying_burrito_brothers-break_my_mind,0.507,0.718,5,-11.212,1,0.048,0.134,0.111,0.333,0.773,157.722,4
foo_fighters-big_me,0.579,0.708,0,-10.419,1,0.0374,0.442,0.0,0.11,0.846,130.97,4
four_stones-brilliant_day_eine_kleine_mix,0.295,0.157,3,-15.11,0,0.0356,0.94,0.0479,0.318,0.187,82.379,4
frank_sinatra-fly_me_to_the_moon,0.668,0.26,7,-14.256,1,0.0523,0.453,0.0,0.0621,0.368,119.416,4
frank_zappa-whats_the_ugliest_part_of_your_body,0.4,0.337,7,-11.868,1,0.0705,0.744,2.16e-05,0.283,0.673,182.945,5
franz_ferdinand-come_on_home,0.58,0.871,9,-8.894,0,0.0452,0.000728,0.246,0.0762,0.508,116.409,4
garbage-hammering_in_my_head,0.542,0.9,1,-6.616,0,0.0564,0.00349,0.0633,0.128,0.675,142.889,4
gene_clark-the_true_one,0.61,0.589,9,-12.568,1,0.027,0.123,0.00118,0.356,0.675,108.197,4
genesis-cuckoo_cocoon,0.315,0.324,4,-10.57,0,0.0441,0.974,0.00353,0.185,0.209,82.755,4
george_harrison-all_things_must_pass,0.513,0.569,9,-8.278,1,0.029,0.468,0.00134,0.111,0.441,122.676,4
germs-lexicon_devil,0.504,0.877,4,-7.469,0,0.053,0.000242,2.66e-06,0.293,0.821,106.272,4
gin_blossoms-hey_jealousy,0.471,0.797,6,-8.407,0,0.0389,0.000179,6.49e-06,0.299,0.497,152.903,4
glenn_miller-in_the_mood,0.645,0.398,8,-12.208,1,0.11,0.854,0.306,0.0731,0.705,82.768,4
gloria_gaynor-i_will_survive,0.777,0.725,0,-8.681,1,0.05,0.0131,0.00805,0.246,0.529,116.669,4
go-gos-vacation,0.621,0.685,9,-5.799,1,0.031,0.00727,0.0528,0.327,0.484,129.999,4
gram_parsons-1000_wedding,0.454,0.333,1,-10.405,1,0.0243,0.528,0.00035,0.097,0.239,77.815,4
grateful_dead-high_time,0.528,0.159,4,-13.696,1,0.0267,0.76,0.000205,0.209,0.423,82.986,3
grayson_wray-heaven_s_the_place,0.701,0.582,7,-6.858,1,0.0615,0.364,0.000706,0.0729,0.575,141.03,4
green_day-longview,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504,4
guided_by_voices-kicker_of_elves,0.401,0.688,8,-14.476,0,0.0989,0.351,3.98e-05,0.105,0.125,79.778,4
guns_n_roses-november_rain,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,4
